Instance,method,lower bound,upper bound,root relaxation,total_time,method_time,number nodes fixed,number of iterations
socfb-Syracuse56.mtx,none,2921.0,3205.0,6833.0,10806.06,0,0,0
socfb-Syracuse56.mtx,one_step_simplicial,2965.0,3204.0,6712.0,10806.25,0.03,450,1
socfb-Syracuse56.mtx,recursive_simplicial,2996.0,3192.0,6190.0,10805.20,0.17,1273,5
socfb-Northeastern19.mtx,none,3598.0,3799.0,6949.5,10804.43,0,0,0
socfb-Northeastern19.mtx,one_step_simplicial,3599.0,3798.0,6835.0,10804.19,0.03,528,1
socfb-Northeastern19.mtx,recursive_simplicial,3603.0,3799.0,6211.5,10803.72,0.12,1459,4
smallworld.graph.txt,none,22448.0,25799.0,50001.0,10805.73,0,0,0
smallworld.graph.txt,one_step_simplicial,22448.0,25799.0,50001.0,10806.00,0.13,1,1
smallworld.graph.txt,recursive_simplicial,22449.0,25800.0,50002.0,10806.09,0.26,2,2
flickrEdges.txt,none,50783.0,50913.0,57145.5,10826.27,0,0,0
flickrEdges.txt,one_step_simplicial,50783.0,50913.0,55241.0,10826.18,0.51,577,1
flickrEdges.txt,recursive_simplicial,56661.0,56794.0,60654.0,10818.50,2.17,7007,7